"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"15.71429",159.548153150934,120.737886309022,198.358419992846,100.192972067595,218.903334234273
"15.85714",172.457618570701,130.507109629294,214.408127512108,108.299851635008,236.615385506394
"16.00000",161.765938372267,122.416192362589,201.115684381945,101.585695100515,221.946181644019
"16.14286",100.505293334495,76.0572672109565,124.953319458034,63.1152639486174,137.895322720373
"16.28571",78.879244034264,59.6917781684902,98.0667099000378,49.5345472911976,108.22394077733
"16.42857",169.94660840863,128.606904961146,211.286311856114,106.722987863792,233.170228953468
"16.57143",176.332274826894,133.43925014928,219.225299504508,110.7330544628,241.931495190988
"16.71429",159.548153150934,120.737884358121,198.358421943748,100.192969083948,218.90333721792
"16.85714",172.457618570701,130.507107902784,214.408129238618,108.299848994538,236.615388146864
"17.00000",161.765938372267,122.416190897556,201.115685846978,101.585692859942,221.946183884592
"17.14286",100.505293334495,76.0572649989103,124.95332167008,63.1152605655846,137.895326103406
"17.28571",78.879244034264,59.691774263642,98.0667138048859,49.5345413192477,108.22394674928
"17.42857",169.94660840863,128.606903099542,211.286313717718,106.722985016714,233.170231800546
"17.57143",176.332274826894,133.43924847599,219.225301177798,110.733051903723,241.931497750065
