"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"15.71429",274.268292093292,224.780476986106,323.756107200478,198.583210125916,349.953374060668
"15.85714",289.944940903856,237.628496266013,342.2613855417,209.933843382561,369.956038425151
"16.00000",316.541022976279,259.425690670235,373.656355282323,229.190660107882,403.891385844676
"16.14286",313.789701000298,257.170801236897,370.4086007637,227.198566188339,400.380835812257
"16.28571",245.140068415161,200.90801562085,289.372121209472,177.492981267105,312.787155563217
"16.42857",278.458401133207,228.214518731088,328.702283535327,201.617014021506,355.299788244909
"16.57143",257.87159656463,211.342301664505,304.400891464755,186.711180798188,329.032012331072
"16.71429",275.011161090415,225.389080417122,324.633241763709,199.120737659606,350.901584521225
"16.85714",290.709901077391,238.255174616403,343.164627538378,210.487319757577,370.932482397204
"17.00000",317.354498807283,260.092085650186,374.616911964381,229.779195188447,404.92980242612
"17.14286",314.575206595723,257.814251556722,371.336161634724,227.766816987722,401.383596203724
"17.28571",245.737826291145,201.397644681416,290.078007900874,177.925370390392,313.550282191898
"17.42857",279.119819240209,228.756259537785,329.483378942633,202.095401492309,356.14423698811
"17.57143",258.468258380074,211.830970607011,305.105546153137,187.142681767018,329.79383499313
