"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"18.28571",334.426629959988,277.13379512608,391.719464793896,246.804800401422,422.048459518553
"18.42857",312.461707901942,255.140259532608,369.783156271277,224.796117717262,400.127298086623
"18.57143",278.795661829239,221.192513169304,336.398810489173,190.699248227964,366.892075430513
"18.71429",219.648589537327,162.032354053334,277.264825021321,131.532161365811,307.765017708844
"18.85714",224.272612427169,161.081535131913,287.463689722425,127.630199454612,320.915025399726
"19.00000",351.590376671816,285.175011726949,418.005741616684,250.016841270057,453.163912073576
"19.14286",338.301658119943,269.962582851587,406.640733388298,233.78606166337,442.817254576516
"19.28571",355.565390741832,282.876302288411,428.254479195252,244.397023219134,466.73375826453
"19.42857",334.563918660505,261.243048750967,407.884788570042,222.429324781115,446.698512539894
"19.57143",300.778035368821,226.89846542084,374.657605316801,187.788983516026,413.767087221615
"19.71429",228.502800900181,154.345484352702,302.660117447661,115.088972279535,341.916629520827
"19.85714",231.247742446834,156.371389321897,306.124095571771,116.73424227705,345.761242616618
"20.00000",357.08521260891,281.7665329749,432.40389224292,241.895232420296,472.275192797525
"20.14286",342.63035477369,267.039193727908,418.221515819472,227.023650226971,458.237059320409
