"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"13.57143",245.354291673138,187.865509072797,302.84307427348,157.432785866355,333.275797479922
"13.71429",259.377127915467,201.137702578975,317.61655325196,170.3076131111,348.446642719835
"13.85714",245.359494842866,186.378979397674,304.340010288058,155.156580523878,335.562409161854
"14.00000",207.521793945892,147.809385345702,267.234202546083,116.199545639185,298.8440422526
"14.14286",163.017870803457,102.58243186659,223.453309740323,70.5898430199694,255.445898586944
"14.28571",224.416386198056,163.266465362888,285.566307033224,130.895652646088,317.937119750025
"14.42857",244.126729292739,182.269712168623,305.983746416855,149.524585287067,338.728873298411
"14.57143",245.354291673138,182.799027257194,307.909556089083,149.684270586995,341.024312759282
"14.71429",259.377127915467,196.13132453845,322.622931292485,162.651018623424,356.103237207511
"14.85714",245.359494842866,181.430611046416,309.288378639315,147.588704200008,343.130285485723
"15.00000",207.521793945892,142.917051688721,272.126536203064,108.717366984938,306.326220906847
"15.14286",163.017870803457,97.7442677102373,228.291473896676,63.1905094678196,262.845232139094
"15.28571",224.416386198056,158.480706938442,290.352065457671,123.576466744553,325.25630565156
"15.42857",244.126729292739,177.534751181464,310.718707404014,142.283087361784,345.970371223694
